,dishes_name
1056,白饭/大碗
1057,姜葱炒花蟹
1058,芝士烩波士顿龙虾
1059,豌豆薯仔猪骨汤
1060,焖猪手
1061,芹菜炒腰花
1062,凉拌菠菜
1063,自制猪肉脯
1064,冰糖红豆薏米粥
1065,美妙绝伦之白莲花
1066,炝炒大白菜
1067,剁椒鱼头
1068,凉拌蒜蓉西兰花
1069,"香辣爆羊肝


"
1070,五色糯米饭(七色)
1071,芝士烩波士顿龙虾
1072,水煮鱼
1073,冰糖红豆薏米粥
1074,拌土豆丝
1075,谷稻小庄 
1076,意文柠檬汁 
1077,美妙绝伦之白莲花
1078,露露无糖杏仁露
1079,自制猪肉脯
1080,凉拌海带豆芽紫菜
1081,香酥两吃大虾
1082,香辣腐乳炒虾
1083,凉拌菠菜
1084,香酥两吃大虾
1085,芹菜炒腰花
1086,清蒸海鱼
1087,冰糖红豆薏米粥
1088,清蒸蝶鱼
1089,小米南瓜粥
